date	Ageing	Aids	Animal Welfare	Bird Flu	BSE	Coal Pits	EU	Countryside	Crime	Defence	Drug Abuse	Economy	Education	Farming	German Reunification	GM foods	Housing	Inflation/Prices	Inner Cities	Local Govt	Low Pay	Morality	NHS	Northern Ireland	Nuclear Power	Nuclear Weapons	Pensions	Fuel Prices	Environment	The Pound	Poverty/Inequality	Privatisation	Public Services	Immigration	Scots/Welsh Assembly	Taxation	Trade Unions	Transport	Tsunami	Unemployment
20080101	7	1	1				7	1	15	5	4	52	13				9	14		2	6	7	27			1	10	7	3	1	11	1	6	29	1	6		3		28
20090101	4	1	1				9	1	14	9	4	52	14				11	13		3	8	7	19			1	11	4	4	1	14	1	5	26	1	4		3		27
20100101	8		1				6	2	18	4	5	52	12				9	14		3	7	7	21			1	10	4	5	1	11	1	5	22	1	2		2		23
20110101	6		1				6	1	19	5	3	55	11				11	17		3	7	7	15			1	8	5	4	1	13	1	5	22	1	4		2		30
20120101	6		1				6	2	17	6	3	55	14				10	16		4	8	7	20	0			9	5	5	1	13	1	4	19	1	2		4		33
20130101	9		1				5	3	18	6	5	52	10	1			10	17		4	8	6	19			1	9	6	6	2	11	1	5	21	1	2	1	4		32
